"Reference","Qty","Value","Datasheet","digikey"
"Q3,Q6,Q7","3","T2N7002BK,LM","https://toshiba.semicon-storage.com/info/docget.jsp?did=29712&prodName=T2N7002AK","T2N7002BKLMCT-ND"
"J13","1","Raspberry_Pi_2_3","https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf",""
"J3","1","Power Switch","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/909/1935161.pdf","277-1667-ND"
"U5","1","MCP3021A0T-E_OT","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/20001805C.pdf","MCP3021A0T-E/OTCT-ND"
"U3","1","MCP6004","https://ww1.microchip.com/downloads/en/DeviceDoc/MCP6001-1R-1U-2-4-1-MHz-Low-Power-Op-Amp-DS20001733L.pdf","MCP6004T-I/SLCT-ND"
"U2","1","MAX42403AFLB+","https://www.analog.com/media/en/technical-documentation/data-sheets/max42402-max42403.pdf","505-MAX42403AFLB+-ND"
"LED1,LED2,LED3,LED4","4","Green","LTST-C170GKT","160-1179-1-ND"
"J8","1","Force Sensor","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/909/1935161.pdf","277-1667-ND"
"Q4","1","DMMT5401 PNP","https://www.diodes.com/assets/Datasheets/DMMT5401.pdf","DMMT5401-FDICT-ND"
"J1","1","Battery 22.2V IN","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/909/1935161.pdf","277-1667-ND"
"Q2","1","AO3407A","https://www.aosmd.com/res/datasheets/AO3407A.pdf","785-1006-1-ND"
"R10","1","665 Ohm","https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","311-665FRCT-ND"
"R17","1","90 kOhm","https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L","13-RT1206DRE0790KLCT-ND"
"R16","1","80.6 Ohm","https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","311-80.6FRCT-ND"
"R5,R15","2","49.9 Ohm","https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","311-49.9FRCT-ND"
"R1","1","49.9 kOhm","https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","311-49.9KFRCT-ND"
"COUT1","1","47 uF","https://www.we-online.com/components/products/datasheet/870025574002.pdf","732-6324-1-ND"
"C_OPT1","1","47 pF","http://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_Middle_and_High_Voltage.pdf","1292-1206N470J102CT-ND"
"C3,C13","2","47 pF","http://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_Middle_and_High_Voltage.pdf","1292-1206N470J102CT-ND"
"R14","1","47 kOhm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=4-2176338-3","A129830CT-ND"
"R3","1","20 kOhm","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","RMCF1206FT20K0CT-ND"
"U4","1","12V Buck","http://www.tracopower.com/products/tsr1.pdf","1951-2739-ND"
"R2","1","9.5 kOhm","https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","311-9.53KFRCT-ND"
"F1","1","5A","https://www.belfuse.com/media/datasheets/products/circuit-protection/ds-cp-c1f-series.pdf","5923-C1F5CT-ND"
"U6","1","3.3V Buck","http://www.tracopower.com/products/tsr1.pdf","1951-2742-ND"
"F2","1","3A","https://www.belfuse.com/media/datasheets/products/circuit-protection/ds-cp-c1f-series.pdf","5923-C1F3CT-ND"
"L1","1","2.2 uH","https://www.murata.com/~/media/webrenewal/products/inductor/chip/tokoproducts/wirewoundferritetypeforpl/m_dem8045c.ashx","490-10787-1-ND"
"C8,CIN1,CIN2","3","2.2 uF","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRJ31CR71H475ME11-01.pdf","490-17674-1-ND"
"R9","1","1.5 kOhm","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","RMCF1206JG1K50CT-ND"
